phrase,idf,tfidf,length,counts,Song_Part
you know what,5.965837151196361,143.18009162871266,3,24.0,Intro
yeah yeah yeah,6.11998783102362,128.51974445149602,3,21.0,Intro
yeah yeah uh,5.965837151196361,119.31674302392722,3,20.0,Intro
will made it,6.11998783102362,110.15978095842516,3,18.0,Intro
yeah oh yeah,5.346797942790138,101.58916091301262,3,19.0,Intro
yeah yeah yeah yeah,5.965837151196361,131.24841732631995,4,22.0,Intro
oh oh oh oh,4.820704846893358,57.8484581627203,4,12.0,Intro
na na na na,6.11998783102362,55.07989047921258,4,9.0,Intro
mike will made it,5.609162207257629,39.26413545080341,4,7.0,Intro
la la la la,6.11998783102362,24.47995132409448,4,4.0,Intro
yeah yeah yeah yeah yeah,4.477760095766529,102.98848220263017,5,23.0,Intro
oh oh oh oh oh,5.513852027453304,71.68007635689295,5,13.0,Intro
na na na na na,6.11998783102362,61.1998783102362,5,10.0,Intro
la la la la la,5.832305758571839,29.161528792859194,5,5.0,Intro
you want me,6.11998783102362,1272.9574688529128,3,208.0,Chorus
your hands up,5.965837151196361,1270.7233132048248,3,213.0,Chorus
you ve got,6.11998783102362,1260.7174931908658,3,206.0,Chorus
you to know,6.11998783102362,1254.597505359842,3,205.0,Chorus
you yeah yeah,5.965837151196361,1252.8258017512358,3,210.0,Chorus
you re the only,6.11998783102362,1236.2375418667712,4,202.0,Chorus
you re the one,6.11998783102362,1230.1175540357476,4,201.0,Chorus
you yeah yeah yeah,5.426840650463674,1145.0633772478352,4,211.0,Chorus
yeah yeah yeah yeah,5.965837151196361,1044.0215014593632,4,175.0,Chorus
oh oh oh so,6.11998783102362,611.9987831023619,4,100.0,Chorus
you yeah yeah yeah yeah,6.11998783102362,1297.4374201770074,5,212.0,Chorus
yeah yeah yeah yeah yeah,5.965837151196361,1049.9873386105596,5,176.0,Chorus
oh oh oh oh oh,5.714522722915455,565.7377495686301,5,99.0,Chorus
la la la la la,6.11998783102362,391.67922118551166,5,64.0,Chorus
you want me,6.11998783102362,960.8380894707083,3,157.0,Verse 1
you think you,6.11998783102362,948.5981138086611,3,155.0,Verse 1
you ve been,5.965837151196361,930.6705955866323,3,156.0,Verse 1
you re the,6.11998783102362,930.2381503155902,3,152.0,Verse 1
you re like,6.11998783102362,911.8781868225193,3,149.0,Verse 1
when it comes to,5.832305758571839,723.205914062908,4,124.0,Verse 1
up in the club,6.11998783102362,679.3186492436218,4,111.0,Verse 1
me in my eyes,6.11998783102362,489.5990264818896,4,80.0,Verse 1
look me in my,6.11998783102362,440.63912383370064,4,72.0,Verse 1
know what to do,6.11998783102362,391.67922118551166,4,64.0,Verse 1
look me in my eyes,5.832305758571839,425.75832037574423,5,73.0,Verse 1
you want me,6.11998783102362,1272.9574688529128,3,208.0,Chorus
your hands up,5.965837151196361,1270.7233132048248,3,213.0,Chorus
you ve got,6.11998783102362,1260.7174931908658,3,206.0,Chorus
you to know,6.11998783102362,1254.597505359842,3,205.0,Chorus
you yeah yeah,5.965837151196361,1252.8258017512358,3,210.0,Chorus
you re the only,6.11998783102362,1236.2375418667712,4,202.0,Chorus
you re the one,6.11998783102362,1230.1175540357476,4,201.0,Chorus
you yeah yeah yeah,5.426840650463674,1145.0633772478352,4,211.0,Chorus
yeah yeah yeah yeah,5.965837151196361,1044.0215014593632,4,175.0,Chorus
oh oh oh so,6.11998783102362,611.9987831023619,4,100.0,Chorus
you yeah yeah yeah yeah,6.11998783102362,1297.4374201770074,5,212.0,Chorus
yeah yeah yeah yeah yeah,5.965837151196361,1049.9873386105596,5,176.0,Chorus
oh oh oh oh oh,5.714522722915455,565.7377495686301,5,99.0,Chorus
la la la la la,6.11998783102362,391.67922118551166,5,64.0,Chorus
you what you,6.11998783102362,985.3180407948028,3,161.0,Verse 2
you want it,6.11998783102362,966.9580773017319,3,158.0,Verse 2
you ve been,6.11998783102362,960.8380894707083,3,157.0,Verse 2
you tell me,6.11998783102362,948.5981138086611,3,155.0,Verse 2
you want me,5.965837151196361,948.5681070402213,3,159.0,Verse 2
yeah yeah yeah yeah,6.11998783102362,777.2384545399997,4,127.0,Verse 2
don know what to,5.513852027453304,137.8463006863326,4,25.0,Verse 2
all the way to,5.609162207257629,50.48245986531866,4,9.0,Verse 2
you want me,6.11998783102362,1272.9574688529128,3,208.0,Chorus
your hands up,5.965837151196361,1270.7233132048248,3,213.0,Chorus
you ve got,6.11998783102362,1260.7174931908658,3,206.0,Chorus
you to know,6.11998783102362,1254.597505359842,3,205.0,Chorus
you yeah yeah,5.965837151196361,1252.8258017512358,3,210.0,Chorus
you re the only,6.11998783102362,1236.2375418667712,4,202.0,Chorus
you re the one,6.11998783102362,1230.1175540357476,4,201.0,Chorus
you yeah yeah yeah,5.426840650463674,1145.0633772478352,4,211.0,Chorus
yeah yeah yeah yeah,5.965837151196361,1044.0215014593632,4,175.0,Chorus
oh oh oh so,6.11998783102362,611.9987831023619,4,100.0,Chorus
you yeah yeah yeah yeah,6.11998783102362,1297.4374201770074,5,212.0,Chorus
yeah yeah yeah yeah yeah,5.965837151196361,1049.9873386105596,5,176.0,Chorus
oh oh oh oh oh,5.714522722915455,565.7377495686301,5,99.0,Chorus
la la la la la,6.11998783102362,391.67922118551166,5,64.0,Chorus
